,params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,model_name
0,"{'p': 1, 'n_neighbors': 9}",0.008528804779052735,1.6329761028289795,0.8274790536030198,0.8644670966399453,KNN
1,"{'penalty': 'l2', 'C': 10}",5.769828605651855,0.007664108276367187,0.8709236769869518,0.8724830437564692,logistic_regression
2,"{'min_samples_leaf': 20, 'max_depth': 10, 'criterion': 'entropy'}",0.1349855422973633,0.003911447525024414,0.8850402913188073,0.8982134938680015,decision_tree
3,"{'n_estimators': 500, 'min_samples_leaf': 10, 'max_depth': 20, 'criterion': 'entropy'}",14.47164077758789,0.2863515853881836,0.8970782058688826,0.9226718058494093,random_forest
4,"{'n_estimators': 300, 'max_depth': 20}",13.158921146392823,0.555837869644165,0.9050120933824652,1.0,xg_boost
5,"XGBClassifier, RandomForestClassifier",18.57078347206116,0.5844932556152344,0.9052856013913375,1.0,voting_classifier
6,{'penalty': None},7.715901470184326,0.0033777713775634765,0.8742825908718229,0.8765919650177644,logistic_regression_feateng
